;devTeam;key;lastMove;observationDate;sp;type
339;Team S;TUH-212;12/08/2019;2020-05-22 15:04:30.182284;1.0;Story
340;Team S;TUH-211;14/08/2019;2020-05-22 15:04:30.182284;2.0;Story
341;Team S;TUH-208;14/08/2019;2020-05-22 15:04:30.182284;2.0;Story
342;Team S;TUH-207;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
343;Team S;TUH-206;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
344;Team S;TUH-205;12/08/2019;2020-05-22 15:04:30.182284;2.0;Story
345;Team S;TUH-204;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
346;Team S;TUH-203;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
347;Team S;TUH-202;31/07/2019;2020-05-22 15:04:30.182284;2.0;Story
348;Team S;TUH-195;24/09/2019;2020-05-22 15:04:30.182284;2.0;Story
349;Team S;TUH-194;14/08/2019;2020-05-22 15:04:30.182284;3.0;Story
350;Team S;TUH-193;16/07/2019;2020-05-22 15:04:30.182284;3.0;Story
351;Team S;TUH-192;28/08/2019;2020-05-22 15:04:30.182284;3.0;Story
352;Team S;TUH-191;26/07/2019;2020-05-22 15:04:30.182284;2.0;Story
353;Team S;TUH-190;26/07/2019;2020-05-22 15:04:30.182284;1.0;Story
354;Team S;TUH-189;26/07/2019;2020-05-22 15:04:30.182284;2.0;Story
355;Team S;TUH-188;17/07/2019;2020-05-22 15:04:30.182284;2.0;Story
356;Team S;TUH-122;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
357;Team S;TUH-120;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
358;Team S;TUH-119;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
359;Team S;TUH-118;02/07/2019;2020-05-22 15:04:30.182284;0.0;Story
360;Team S;TUH-54;17/07/2019;2020-05-22 15:04:30.182284;5.0;Story
361;Team O;TUH-52;20/05/2020;2020-05-22 15:04:30.182284;2.0;Ops Task
362;Team O;TUH-49;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
363;Team S;TUH-47;02/08/2019;2020-05-22 15:04:30.182284;3.0;Story
364;Team O;TUH-45;19/06/2019;2020-05-22 15:04:30.182284;3.0;Ops Task
365;Team O;TUH-44;03/07/2019;2020-05-22 15:04:30.182284;4.0;Ops Task
366;Team S;TUH-43;29/07/2019;2020-05-22 15:04:30.182284;3.0;Story
367;Team S;TUH-42;17/07/2019;2020-05-22 15:04:30.182284;3.0;Story
368;Team S;TUH-41;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
369;Team S;TUH-40;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
370;Team M;TUH-38;03/09/2019;2020-05-22 15:04:30.182284;2.0;Story
371;Team S;TUH-36;26/06/2019;2020-05-22 15:04:30.182284;3.0;Story
372;Team S;TUH-35;19/06/2019;2020-05-22 15:04:30.182284;0.5;Story
373;Team S;TUH-34;19/06/2019;2020-05-22 15:04:30.182284;2.0;Story
374;Team S;TUH-32;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
375;Team S;TUH-31;16/07/2019;2020-05-22 15:04:30.182284;3.0;Story
376;Team S;TUH-29;19/06/2019;2020-05-22 15:04:30.182284;5.0;Story
377;Team S;TUH-26;03/07/2019;2020-05-22 15:04:30.182284;1.0;Story
378;Team S;TUH-25;09/07/2019;2020-05-22 15:04:30.182284;5.0;Story
