,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
0,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Open,Bug
1,0.03,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,In Development,Bug
2,0.01,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Code Review,Bug
3,0.05,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Merged,Bug
4,0.04,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Ready to Test,Bug
5,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Ready For Signoff,Bug
6,0.0,Team C,2020-05-12,KEY-1478,2020-05-18 15:23:26.721638,1.0,2020-05-12,Done,Bug
7,19.06,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Open,Task
8,0.98,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,In Development,Task
9,0.12,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Code Review,Task
10,0.0,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Merged,Task
11,4.9,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Ready to Test,Task
12,0.0,Team B,2020-05-18,KEY-1444,2020-05-18 15:23:26.721638,3.0,2020-05-18,Done,Task
13,5.07,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Open,Task
14,0.99,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,In Development,Task
15,0.01,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Code Review,Task
16,6.93,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Ready to Test,Task
17,0.41,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Ready For Signoff,Task
18,0.0,Team B,2020-05-06,KEY-1443,2020-05-18 15:23:26.721638,2.0,2020-05-06,Done,Task
19,6.81,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Open,Bug
20,1.18,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Ready to Test,Bug
21,3.99,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,In Testing,Bug
22,2.18,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Ready For Signoff,Bug
23,0.0,Team B,2020-05-06,KEY-1441,2020-05-18 15:23:26.721638,1.0,2020-05-06,Done,Bug
24,0.0,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Open,Ops Task
25,0.13,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Ready for Development,Ops Task
26,0.31,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,In Development,Ops Task
27,0.63,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Code Review,Ops Task
28,0.0,Team A,2020-04-23,KEY-1440,2020-05-18 15:23:26.721638,1.0,2020-04-23,Done,Ops Task
29,3.95,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Open,Bug
30,2.95,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,In Development,Bug
31,0.07,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Code Review,Bug
32,1.07,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Merged,Bug
33,0.76,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,In Testing,Bug
34,1.27,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Ready For Signoff,Bug
35,0.0,Team B,2020-04-30,KEY-1437,2020-05-18 15:23:26.721638,2.0,2020-04-30,Done,Bug
36,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Open,Ops Task
37,0.08,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,In Refinement,Ops Task
38,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Ready for Development,Ops Task
39,0.23,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,In Development,Ops Task
40,2.74,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Code Review,Ops Task
41,0.05,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Ready For Signoff,Ops Task
42,0.0,Team A,2020-04-20,KEY-1425,2020-05-18 15:23:26.721638,1.0,2020-04-20,Done,Ops Task
43,0.0,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,Open,Task
44,22.06,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,In Refinement,Task
45,0.0,Team B,2020-05-08,KEY-1424,2020-05-18 15:23:26.721638,,2020-05-08,Withdrawn,Task
46,7.86,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Open,Task
47,5.02,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Ready for Development,Task
48,8.12,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,In Development,Task
49,0.94,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Code Review,Task
50,0.98,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Ready For Signoff,Task
51,0.0,Team C,2020-05-08,KEY-1423,2020-05-18 15:23:26.721638,3.0,2020-05-08,Done,Task
52,13.1,,2020-04-23,KEY-1422,2020-05-18 15:23:26.721638,,2020-04-23,Open,Bug
53,0.0,,2020-04-23,KEY-1422,2020-05-18 15:23:26.721638,,2020-04-23,Withdrawn,Bug
54,7.05,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Open,Ops Task
55,0.04,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Refinement,Ops Task
56,3.88,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Ready for Development,Ops Task
57,14.95,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Development,Ops Task
58,2.03,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,In Testing,Ops Task
59,0.0,Team A,2020-05-07,KEY-1420,2020-05-18 15:23:26.721638,5.0,2020-05-07,Done,Ops Task
60,14.95,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Open,Story
61,1.82,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Refinement,Story
62,0.96,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Awaiting clarification,Story
63,3.91,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Development,Story
64,0.0,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Merged,Story
65,0.04,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Ready to Test,Story
66,0.12,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,In Testing,Story
67,7.13,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Ready For Signoff,Story
68,0.0,Team C,2020-05-05,KEY-1398,2020-05-18 15:23:26.721638,2.0,2020-05-05,Done,Story
69,0.8,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Open,Story
70,20.05,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Blocked,Story
71,0.2,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,In Analysis,Story
72,0.01,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Awaiting clarification,Story
73,8.88,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,In Refinement,Story
74,1.82,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Ready for Development,Story
75,2.21,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,In Development,Story
76,2.73,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Ready to Test,Story
77,0.07,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,In Testing,Story
78,1.02,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Ready For Signoff,Story
79,0.0,Team C,2020-05-14,KEY-1397,2020-05-18 15:23:26.721638,2.0,2020-05-14,Done,Story
80,4.02,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,Open,Ops Task
81,0.01,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,In Refinement,Ops Task
82,2.84,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,Ready for Development,Ops Task
83,10.34,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,In Development,Ops Task
84,1.81,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,Code Review,Ops Task
85,0.01,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,Ready For Signoff,Ops Task
86,0.0,Team A,2020-04-22,KEY-1396,2020-05-18 15:23:26.721638,3.0,2020-04-22,Done,Ops Task
87,0.0,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,Open,Ops Task
88,4.94,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,In Development,Ops Task
89,0.0,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,Merged,Ops Task
90,1.04,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,Ready to Test,Ops Task
91,1.76,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,In Testing,Ops Task
92,0.0,Team A,2020-04-09,KEY-1395,2020-05-18 15:23:26.721638,1.0,2020-04-09,Done,Ops Task
93,0.0,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Open,Task
94,6.99,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,In Refinement,Task
95,8.71,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Ready for Development,Task
96,3.24,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,In Development,Task
97,1.11,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Code Review,Task
98,2.77,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Merged,Task
99,0.03,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Ready to Test,Task
100,0.08,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,In Testing,Task
101,1.91,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Ready For Signoff,Task
102,0.0,Team C,2020-04-24,KEY-1389,2020-05-18 15:23:26.721638,3.0,2020-04-24,Done,Task
103,14.85,Team C,2020-04-30,KEY-1388,2020-05-18 15:23:26.721638,1.0,2020-04-30,Open,Task
104,6.01,Team C,2020-04-30,KEY-1388,2020-05-18 15:23:26.721638,1.0,2020-04-30,In Development,Task
105,9.95,Team C,2020-04-30,KEY-1388,2020-05-18 15:23:26.721638,1.0,2020-04-30,Ready for Development,Task
106,0.01,Team C,2020-04-30,KEY-1388,2020-05-18 15:23:26.721638,1.0,2020-04-30,Code Review,Task
107,0.0,Team C,2020-04-30,KEY-1388,2020-05-18 15:23:26.721638,1.0,2020-04-30,Done,Task
108,12.92,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,Open,Ops Task
109,1.89,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,In Refinement,Ops Task
110,0.93,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,Ready for Development,Ops Task
111,0.3,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,In Development,Ops Task
112,4.71,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,Code Review,Ops Task
113,0.99,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,In Testing,Ops Task
114,0.0,Team A,2020-04-16,KEY-1381,2020-05-18 15:23:26.721638,3.0,2020-04-16,Done,Ops Task
115,28.98,Team B,2020-04-21,KEY-1374,2020-05-18 15:23:26.721638,0.0,2020-04-21,Open,Story
116,0.0,Team B,2020-04-21,KEY-1374,2020-05-18 15:23:26.721638,0.0,2020-04-21,Withdrawn,Story
117,0.09,,2020-03-23,KEY-1373,2020-05-18 15:23:26.721638,,2020-03-23,Open,Story
118,0.0,,2020-03-23,KEY-1373,2020-05-18 15:23:26.721638,,2020-03-23,Withdrawn,Story
119,18.09,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Open,Story
120,16.99,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,In Analysis,Story
121,0.05,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Awaiting clarification,Story
122,2.66,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,In Refinement,Story
123,0.0,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Ready for Development,Story
124,6.77,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,In Development,Story
125,0.17,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Code Review,Story
126,3.92,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,In Testing,Story
127,0.06,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Merged,Story
128,3.04,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Ready to Test,Story
129,0.17,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Ready For Signoff,Story
130,0.0,Team C,2020-05-14,KEY-1371,2020-05-18 15:23:26.721638,5.0,2020-05-14,Done,Story
131,29.13,Team C,2020-05-05,KEY-1370,2020-05-18 15:23:26.721638,0.0,2020-05-05,Open,Story
132,5.97,Team C,2020-05-05,KEY-1370,2020-05-18 15:23:26.721638,0.0,2020-05-05,In Analysis,Story
133,7.87,Team C,2020-05-05,KEY-1370,2020-05-18 15:23:26.721638,0.0,2020-05-05,Awaiting clarification,Story
134,0.0,Team C,2020-05-05,KEY-1370,2020-05-18 15:23:26.721638,0.0,2020-05-05,Withdrawn,Story
135,14.99,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Open,Story
136,21.17,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,In Refinement,Story
137,0.01,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Awaiting clarification,Story
138,5.81,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Ready for Development,Story
139,1.08,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,In Development,Story
140,0.02,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Code Review,Story
141,0.09,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Merged,Story
142,1.04,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Ready to Test,Story
143,0.88,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,In Testing,Story
144,4.13,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Ready For Signoff,Story
145,0.0,Team B,2020-05-11,KEY-1366,2020-05-18 15:23:26.721638,2.0,2020-05-11,Done,Story
146,14.99,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Open,Story
147,15.09,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,In Refinement,Story
148,6.07,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,In Analysis,Story
149,0.01,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Awaiting clarification,Story
150,0.82,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Ready for Development,Story
151,1.12,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,In Development,Story
152,0.04,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Code Review,Story
153,4.75,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Merged,Story
154,1.09,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,In Testing,Story
155,1.18,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Ready For Signoff,Story
156,0.0,Team B,2020-05-07,KEY-1365,2020-05-18 15:23:26.721638,2.0,2020-05-07,Done,Story
157,4.05,Team C,2020-03-30,KEY-1362,2020-05-18 15:23:26.721638,1.0,2020-03-30,Open,Task
158,7.12,Team C,2020-03-30,KEY-1362,2020-05-18 15:23:26.721638,1.0,2020-03-30,In Development,Task
159,0.0,Team C,2020-03-30,KEY-1362,2020-05-18 15:23:26.721638,1.0,2020-03-30,Done,Task
160,20.77,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,Open,Ops Task
161,1.0,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,In Refinement,Ops Task
162,5.91,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,Ready for Development,Ops Task
163,7.2,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,In Development,Ops Task
164,0.04,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,Code Review,Ops Task
165,0.83,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,Ready For Signoff,Ops Task
166,0.0,Team A,2020-04-23,KEY-1361,2020-05-18 15:23:26.721638,5.0,2020-04-23,Done,Ops Task
167,0.85,Team A,2020-04-08,KEY-1360,2020-05-18 15:23:26.721638,3.0,2020-04-08,Open,Ops Task
168,4.94,Team A,2020-04-08,KEY-1360,2020-05-18 15:23:26.721638,3.0,2020-04-08,In Refinement,Ops Task
169,10.07,Team A,2020-04-08,KEY-1360,2020-05-18 15:23:26.721638,3.0,2020-04-08,Ready for Development,Ops Task
170,4.87,Team A,2020-04-08,KEY-1360,2020-05-18 15:23:26.721638,3.0,2020-04-08,In Development,Ops Task
171,0.0,Team A,2020-04-08,KEY-1360,2020-05-18 15:23:26.721638,3.0,2020-04-08,Done,Ops Task
172,12.02,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Open,Story
173,23.82,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,In Refinement,Story
174,0.94,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Ready for Development,Story
175,3.91,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,In Development,Story
176,0.03,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Code Review,Story
177,0.03,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Merged,Story
178,1.9200000000000002,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Ready to Test,Story
179,0.12,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,In Testing,Story
180,0.17,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Ready For Signoff,Story
181,0.0,Team C,2020-04-30,KEY-1348,2020-05-18 15:23:26.721638,3.0,2020-04-30,Done,Story
182,0.69,Team A,2020-03-12,KEY-1344,2020-05-18 15:23:26.721638,0.0,2020-03-12,Open,Ops Task
183,0.0,Team A,2020-03-12,KEY-1344,2020-05-18 15:23:26.721638,0.0,2020-03-12,Withdrawn,Ops Task
184,27.78,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,Open,Ops Task
185,8.03,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,In Refinement,Ops Task
186,7.88,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,Ready for Development,Ops Task
187,4.22,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,In Development,Ops Task
188,0.82,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,Code Review,Ops Task
189,0.0,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,In Testing,Ops Task
190,0.0,Team A,2020-04-29,KEY-1340,2020-05-18 15:23:26.721638,3.0,2020-04-29,Done,Ops Task
191,21.89,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,Open,Ops Task
192,13.93,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,In Refinement,Ops Task
193,10.14,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,In Development,Ops Task
194,7.86,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,Ready for Development,Ops Task
195,0.92,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,Code Review,Ops Task
196,1.18,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,In Testing,Ops Task
197,0.0,Team A,2020-05-06,KEY-1339,2020-05-18 15:23:26.721638,5.0,2020-05-06,Done,Ops Task
198,7.86,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,Open,Ops Task
199,7.08,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,In Refinement,Ops Task
200,3.74,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,Ready for Development,Ops Task
201,4.16,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,In Development,Ops Task
202,2.96,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,Code Review,Ops Task
203,0.0,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,In Testing,Ops Task
204,1.13,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,Ready For Signoff,Ops Task
205,0.0,Team A,2020-04-07,KEY-1338,2020-05-18 15:23:26.721638,5.0,2020-04-07,Done,Ops Task
206,0.9,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Open,Story
207,6.14,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,In Refinement,Story
208,19.95,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Awaiting clarification,Story
209,1.03,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Ready for Development,Story
210,9.98,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,In Development,Story
211,0.04,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Code Review,Story
212,0.74,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Merged,Story
213,0.04,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Ready to Test,Story
214,3.98,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,In Testing,Story
215,0.4,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Ready For Signoff,Story
216,0.0,Team B,2020-04-23,KEY-1337,2020-05-18 15:23:26.721638,4.0,2020-04-23,Done,Story
217,0.02,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Open,Task
218,0.67,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,In Analysis,Task
219,2.09,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,In Refinement,Task
220,0.2,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Ready for Development,Task
221,4.72,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,In Development,Task
222,0.0,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Code Review,Task
223,0.05,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Merged,Task
224,1.97,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,In Testing,Task
225,0.22,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Ready For Signoff,Task
226,0.0,Team C,2020-03-19,KEY-1325,2020-05-18 15:23:26.721638,5.0,2020-03-19,Done,Task
227,32.1,Team B,2020-05-06,KEY-1317,2020-05-18 15:23:26.721638,2.0,2020-05-06,Open,Task
228,16.84,Team B,2020-05-06,KEY-1317,2020-05-18 15:23:26.721638,2.0,2020-05-06,Awaiting clarification,Task
229,4.03,Team B,2020-05-06,KEY-1317,2020-05-18 15:23:26.721638,2.0,2020-05-06,Ready for Development,Task
230,0.34,Team B,2020-05-06,KEY-1317,2020-05-18 15:23:26.721638,2.0,2020-05-06,In Development,Task
231,0.71,Team B,2020-05-06,KEY-1317,2020-05-18 15:23:26.721638,2.0,2020-05-06,Code Review,Task
