,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
2831,0.02,Team A,2020-04-08,KEY-553,2020-05-18 15:23:26.721638,1.0,2020-04-08,In Development,Ops Task
2832,49.97,Team A,2020-04-08,KEY-553,2020-05-18 15:23:26.721638,1.0,2020-04-08,Ready to Test,Ops Task
2833,0.0,Team A,2020-04-08,KEY-553,2020-05-18 15:23:26.721638,1.0,2020-04-08,Done,Ops Task
2834,54.39,Team A,2019-09-12,KEY-552,2020-05-18 15:23:26.721638,0.0,2019-09-12,Open,Ops Task
2835,36.69,Team A,2019-09-12,KEY-552,2020-05-18 15:23:26.721638,0.0,2019-09-12,Backlog,Ops Task
2836,0.0,Team A,2019-09-12,KEY-552,2020-05-18 15:23:26.721638,0.0,2019-09-12,Withdrawn,Ops Task
2837,54.39,Team A,2019-09-12,KEY-551,2020-05-18 15:23:26.721638,0.0,2019-09-12,Open,Ops Task
2838,36.69,Team A,2019-09-12,KEY-551,2020-05-18 15:23:26.721638,0.0,2019-09-12,Backlog,Ops Task
2839,0.0,Team A,2019-09-12,KEY-551,2020-05-18 15:23:26.721638,0.0,2019-09-12,Withdrawn,Ops Task
2840,20.05,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,Open,Story
2841,44.08,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,Ready for Development,Story
2842,27.87,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,In Refinement,Story
2843,6.85,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,In Development,Story
2844,4.04,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,Code Review,Story
2845,1.2,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,In Testing,Story
2846,0.0,Team B,2019-09-24,KEY-550,2020-05-18 15:23:26.721638,5.0,2019-09-24,Done,Story
2847,20.01,Team C,2019-09-11,KEY-549,2020-05-18 15:23:26.721638,2.0,2019-09-11,Open,Story
2848,61.78,Team C,2019-09-11,KEY-549,2020-05-18 15:23:26.721638,2.0,2019-09-11,Ready for Development,Story
2849,4.25,Team C,2019-09-11,KEY-549,2020-05-18 15:23:26.721638,2.0,2019-09-11,In Development,Story
2850,5.01,Team C,2019-09-11,KEY-549,2020-05-18 15:23:26.721638,2.0,2019-09-11,Code Review,Story
2851,0.0,Team C,2019-09-11,KEY-549,2020-05-18 15:23:26.721638,2.0,2019-09-11,Done,Story
